d, d/ATT
10, 0.248
20, 0.011
30, 0.007
40, 0.007
50, 0.006
60, 0.006
70, 0.006
80, 0.005
90, 0.005
100, 0.005
110, 0.005
120, 0.005
130, 0.005
140, 0.005
150, 0.005
160, 0.005
170, 0.005
180, 0.005
190, 0.005
200, 0.005
210, 0.005
220, 0.005
230, 0.005
240, 0.005
250, 0.005
