d, d/ATT
10, 0.328
20, 0.058
30, 0.038
40, 0.034
50, 0.031
60, 0.029
70, 0.028
80, 0.027
90, 0.027
100, 0.026
110, 0.026
120, 0.026
130, 0.026
140, 0.025
150, 0.025
160, 0.025
170, 0.025
180, 0.025
190, 0.025
200, 0.025
210, 0.025
220, 0.025
230, 0.024
240, 0.024
250, 0.024
