d, d/ATT
10, 0.322
20, 0.036
30, 0.031
40, 0.027
50, 0.025
60, 0.024
70, 0.023
80, 0.023
90, 0.022
100, 0.022
110, 0.022
120, 0.022
130, 0.022
140, 0.022
150, 0.022
160, 0.022
170, 0.022
180, 0.021
190, 0.021
200, 0.021
210, 0.021
220, 0.021
230, 0.021
240, 0.021
250, 0.021
